==================================
본인학번    /   친구학번
==================================
2007720064  /   2008720097
2009720156  /   2007720064
2010720112  /   2006720004
2008720082  /   2010720055
2008720097  /   2012720123
2006720004  /   2011720077
2007720064  /   2006720136
2008720097  /   2007720064
2011720089  /   2010720055
2006720136  /   2008720097
2009720007  /   2006720004
2009720007  /   2007720064
2012720123  /   2006720136
2011720089  /   2011720077
2009720156  /   2006720136
2012720123  /   2007720064
2006720136  /   2009720156
2006720136  /   2012720123
2007720064  /   2009720156
2006720004  /   2010720112
2006720136  /   2007720064
2012720099  /   2012720123
2012720162  /   2011720089
2012720141  /   2012720095
2011720009  /   2011720077
2010720055  /   2008720082
2012720099  /   2012720141
2011720089  /   2011720009
2010720108  /   2010720055
2012720099  /   2012720095
2012720141  /   2012720099
2012720123  /   2008720097
2007720064  /   2012720123
2011720009  /   2011720089
2012720162  /   2011720077
2012720099  /   2006720136
2012720095  /   2012720099
2010720055  /   2006720136
2010720055  /   2012720123
2009720156  /   2008720097
2008720082  /   2010720112
2008720082  /   2012720099
2012720099  /   2008720082
2009720007  /   2010720108
2006720004  /   2010720055
2008720097  /   2006720136
2011720077  /   2011720089
2006720136  /   2010720055
2010720108  /   2009720007
2012720095  /   2012720141
2011720077  /   2011720009
2008720097  /   2009720156
2012720123  /   2009720156
2010720108  /   2009720156
2010720108  /   2008720097
2009720156  /   2012720123
2012720162  /   2011720009
2012720162  /   2007720064

