==================================
본인학번    /   친구학번
==================================
2012720123  /   2012720162
2009720007  /   2010720112
2008720144  /   2009720082
2006720136  /   2008720082
2011720089  /   2012720123
2008720082  /   2010720108
2011720009  /   2009720007
2010720108  /   2011720089
2011720009  /   2012720095
2011720089  /   2008720082
2009720007  /   2011720009
2012720099  /   2012720162
2007720064  /   2009720156
2010720055  /   2012720099
2008720097  /   2010720055
2006720004  /   2007720064
2010720055  /   2011720009
2009720007  /   2006720136
2007720064  /   2007720064
2012720162  /   2006720004

